Questions,Manual Label,Log Reg,Gaussian,Linear,RBF,Polynomial
The question is similar to that about the efficiency of the recursive algorithm for computing n!. b. Write pseudocode for the nonrecursive algorithm and determine its efficiency.,Factual,Factual,Procedural,Factual,Factual,Factual
"Note that you are asked here about a recurrence for the function's values, not about a recurrence for the number of times its operation is executed. Just follow the pseudocode to set it up. It is easier to solve this recurrence by forward substitutions (see Appendix B). b. This question is very similar to one we have already discussed. c. You may want to include the subtractions needed to decrease n. ",Factual,Procedural,Conceptual,Factual,Factual,Factual
Does it return a correct comparison count for every array of size 2?,Factual,Procedural,Procedural,Factual,Factual,Factual
Check how fast the count values grow with doubling the input size.,Factual,Factual,Factual,Factual,Factual,Factual
Compare the values of the functions lg lg n and lg n for n = 2k.,Factual,Factual,Factual,Factual,Factual,Factual
Insert the division counter in a program implementing the algorithm and run it for the input pairs in the range indicated.,Factual,Factual,Factual,Factual,Factual,Factual
"Get the empirical data for random values of n in a range of, say, between 102 and 104 or 105 and plot the data obtained. (You may want to use different scales for the axes of your coordinate system.)",Factual,Procedural,Factual,Factual,Factual,Factual
Solving the problem for n = 2 and n = 3 should lead you to the critical insight. b. Where would you put the post office if it did not have to be at one of the village locations?,Factual,Procedural,Conceptual,Factual,Factual,Factual
"Check requirements (i)_(iii) by using basic properties of absolute values. b. For the Manhattan distance, the points in question are defined by the equation |x - 0| + |y - 0| = ",Factual,Factual,Factual,Factual,Factual,Factual
Compare the efficiency classes of the two versions of DFS for sparse graphs.,Conceptual,Factual,Factual,Factual,Factual,Factual
Perform the BFS traversal the same way it is done in the text,Factual,Factual,Factual,Factual,Factual,Factual
What property of a BFS forest indicates a cycle's presence? (The answer is similar to the one for a DFS forest.) b. Find two examples supporting this answer.,Factual,Factual,Factual,Factual,Factual,Factual
"Given the fact that both traversals can reach a new vertex if and only if it is adjacent to one of the previously visited vertices, which vertices will be visited by the time either traversal halts (i.e., its stack or queue becomes empty)? ",Factual,Factual,Factual,Factual,Factual,Factual
"Use a DFS forest and a BFS forest for parts (a) and (b), respectively. ",Factual,Procedural,Procedural,Factual,Factual,Factual
Use either DFS or BFS.,Factual,Factual,Factual,Factual,Factual,Factual
Follow the instructions of the problem's statement. b. Trying both traversals should lead you to a correct answer very fast.,Factual,Factual,Procedural,Factual,Factual,Factual
You can apply BFS without an explicit sketch of a graph representing the states of the puzzle.,Factual,Factual,Conceptual,Factual,Factual,Factual
Trace the algorithm for n = 2; take advantage of this trace in tracing the algorithm for n = 3 and then use the latter for n =,Factual,Factual,Factual,Factual,Factual,Factual
Just trace the algorithms for n =,Factual,Factual,Factual,Factual,Factual,Factual
Represent the disk movements by flipping bits in a binary n-tuple.,Factual,Factual,Conceptual,Factual,Factual,Factual
Trace the algorithm on the input given. You will have to use it again in order to compute the products of two-digit numbers as well.,Factual,Procedural,Factual,Factual,Factual,Factual
Take logarithms of both sides of the equality. b. What did we use the closed-form formula for?,Factual,Factual,Factual,Factual,Factual,Factual
"How do we multiply by powers of 10? b. Try to repeat the argument for, say, 98. Counting the number of one-digit additions made by the pen-and-pencil algorithm in multiplying, say, two four-digit numbers, should help answer the general question. ",Factual,Procedural,Factual,Factual,Factual,Factual
Check the formulas by simple algebraic manipulations.,Factual,Procedural,Procedural,Factual,Factual,Factual
Trace Strassen's algorithm on the input given,Factual,Factual,Conceptual,Factual,Factual,Factual
Use the method of backward substitutions to solve the recurrence given in the text.,Conceptual,Procedural,Procedural,Factual,Factual,Factual
The recurrence for the number of multiplications in Pan's algorithm is similar to that for Strassen's algorithm. Use the Master Theorem to find the order of growth of its solution.,Conceptual,Procedural,Factual,Factual,Factual,Factual
Trace the algorithm as we did in solving another system in the section.,Factual,Factual,Factual,Factual,Factual,Factual
Use the Gaussian elimination results as explained in the text. b. It is one of the varieties of the transform-and-conquer technique. Which one?,Conceptual,Factual,Factual,Factual,Factual,Factual
Find the inverse. You can either solve the system with three simultaneous right-hand side vectors representing the columns of the 3 x 3 identity matrix or use the LU decomposition of the system's coefficient matrix,Factual,Factual,Factual,Factual,Factual,Factual
"Though the final answer is correct, its derivation contains an error you have to find. ",Conceptual,Factual,Factual,Factual,Factual,Factual
Estimate the ratio of the algorithm running times by using the approximate formulas for the number of divisions and the number of multiplications in both algorithms.,Procedural,Procedural,Factual,Factual,Factual,Factual
Trace the algorithm outlined in the text on the input given.,Factual,Procedural,Factual,Factual,Factual,Factual
"Comment on the following: For a heap represented by an array, only the parental dominance requirement needs to be checked. ",Factual,Factual,Factual,Factual,Factual,Factual
What structure does a complete tree of height h with the largest number of nodes have? What about a complete tree with the smallest number of nodes? b. Use the results established in part (a).,Factual,Factual,Factual,Factual,Factual,Factual
"First, express the right-hand side as a function of h. Then, prove the obtained equality by either using the formula for the sum i2i given in Appendix A or by mathematical induction on h. ",Conceptual,Factual,Factual,Factual,Factual,Factual
Where in a heap should one look for its smallest element?,Conceptual,Factual,Factual,Factual,Factual,Factual
Deleting an arbitrary element of a heap can be done by generalizing the algorithm for deleting its root.,Conceptual,Factual,Factual,Factual,Factual,Factual
"Fill in a table with the time efficiency classes of efficient implementations of the three operations: finding the largest element, finding and deleting the largest element, and adding a new element. ",Factual,Procedural,Factual,Factual,Factual,Factual
"As a rule, sorting algorithms that can exchange far-apart elements are not stable. ",Factual,Procedural,Factual,Factual,Factual,Factual
Set up sums and simplify them by using the standard formulas and rules for sum manipulation. Do not forget to include the multiplications outside the inner loop.,Conceptual,Factual,Procedural,Factual,Factual,Factual
Check the algorithm's pseudocode to see what it does upon encountering equal values.,Conceptual,Factual,Factual,Factual,Factual,Factual
Trace the algorithm on the input given,Factual,Factual,Factual,Factual,Factual,Factual
Check whether the algorithm can reverse a relative ordering of equal elements.,Conceptual,Procedural,Factual,Factual,Factual,Factual
Where will A[i] be in the sorted array?,Conceptual,Factual,Factual,Factual,Factual,Factual
Take advantage of the standard traversals of such trees.,Factual,Procedural,Factual,Factual,Factual,Factual
"Follow the definitions of the arrays B and C in the description of the method. b. Find, say, B[C[3]] for the example in part (a). ",Conceptual,Factual,Factual,Factual,Factual,Factual
Start by finding the target positions for all the statures.,Factual,Factual,Factual,Factual,Factual,Factual
Use linked lists to hold nonzero elements of the matrices.,Conceptual,Procedural,Factual,Factual,Factual,Factual
Represent each of the given polynomials by a linked list with nodes containing exponent i and coefficient ai for each nonzero term aixi.,Factual,Procedural,Factual,Factual,Factual,Factual
