Questions,Manual Label,NSQ,LDA,LSA,Cognitive,Knowledge
"Do some research on al-Khorezmi (also al-Khwarizmi), the man from whose name the word ""algorithm"" is derived. In particular, you should learn what the origins of the words ""algorithm"" and ""algebra"" have in common. ",13,0.997202187,0.975740629,0.463222,1,2
"Given that the official purpose of the U.S. patent system is the promotion of the ""useful arts,"" do you think algorithms are patentable in this country? Should they be? ",22,0.954685921,1,0.385732,4,3
Write down driving directions for going from your school to your home with the precision required from an algorithm's description. b. Write down a recipe for cooking your favorite dish with the precision required by an algorithm.,17,0.998936381,0.836698846,0.537229,5,2
"Old World puzzle A peasant finds himself on a riverbank with a wolf, a goat, and a head of cabbage. He needs to transport all three to the other side of the river in his boat. However, the boat has room for only the peasant himself and one other item (either the wolf, the goat, or the cabbage). In his absence, the wolf would eat the goat, and the goat would eat the cabbage. Solve this problem for the peasant or prove it has no solution. (Note: The peasant is a vegetarian but does not like cabbage and hence can eat neither the goat nor the cabbage to help him solve the problem. And it goes without saying that the wolf is a protected species.) ",17,0.986390759,0.326462505,0.7915,5,2
"New World puzzle There are four people who want to cross a rickety bridge; they all begin on the same side. You have 17 minutes to get them all across to the other side. It is night, and they have one flashlight. A maximum of two people can cross the bridge at one time. Any party that crosses, either one or two people, must have the flashlight with them. The flashlight must be walked back and forth; it cannot be thrown, for example. Person 1 takes 1 minute to cross the bridge, person 2 takes 2 minutes, person 3 takes 5 minutes, and person 4 takes 10 minutes. A pair must walk together at the rate of the slower person's pace. (Note: According to a rumor on the Internet, interviewers at a well-known software company located near Seattle have given this problem to interviewees.) ",17,0.999996534,0.498008327,0.751313,5,2
"Which of the following formulas can be considered an algorithm for computing the area of a triangle whose side lengths are given positive numbers a, b, and c? a. S= p(p - a)(p - b)(p - c), where p = (a + b + c)/2 b. S= 1 bc sin A, where A is the angle between sides b and c 2 c. S = 1 aha , where ha is the height to base a 2 ",10,0.978028623,0.340563993,0.486533,4,1
"Write pseudocode for an algorithm for finding real roots of equation ax2 + bx + c = 0 for arbitrary real coefficients a, b, and c. (You may assume the availability of the square root function sqrt (x).) ",14,0.971768162,0.403200883,0.665557,2,2
Describe the standard algorithm for finding the binary representation of a positive decimal integer a. in English. b. in pseudocode.,12,0.464691797,0.270039225,0.438084,0,2
"Describe the algorithm used by your favorite ATM machine in dispensing cash. (You may give your description in either English or pseudocode, whichever you find more convenient.) ",13,0.994444456,0.498008327,0.53767,1,2
Name the algorithms for the searching problem that you already know. Give a good succinct description of each algorithm in English,12,0.585832458,0.869617382,0.518668,0,2
"Describe how one can implement each of the following operations on an array so that the time it takes does not depend on the array's size n. a. Delete the ith element of an array (1 i n). b. Delete the ith element of a sorted array (the remaining array has to stay sorted, of course). ",17,0.554402712,0.252443041,0.517273,5,2
"If you have to solve the searching problem for a list of n numbers, how can you take advantage of the fact that the list is known to be sorted? Give separate answers for a. lists represented as arrays. b. lists represented as linked lists. ",10,0.87059825,0.331849741,0.531099,4,1
"Show the stack after each operation of the following sequence that starts with the empty stack: push(a), push(b), pop, push(c), push(d), pop b. Show the queue after each operation of the following sequence that starts with the empty queue: enqueue(a), enqueue(b), dequeue, enqueue(c), enqueue(d), dequeue ",13,0.969237346,0.328732481,0.483198,1,2
"Let A be the adjacency matrix of an undirected graph. Explain what property of the matrix indicates that i. the graph is complete. ii. the graph has a loop, i.e., an edge connecting a vertex to itself. iii. the graph has an isolated vertex, i.e., a vertex with no edges incident to it. b. Answer the same questions for the adjacency list representation. ",10,0.90530035,0.205253135,0.882074,4,1
Compute the following sums. a. 1 + 3 + 5 + 7 + . . . + 999 b. 2 + 4 + 8 + 16 + . . . + 1024 c. n+1 1 d. n+1 i e. n-1 i(i + 1) i=3 i=3 i=0 f. n 3j +1 g. n n ij h. n 1/ i(i + 1) j =1 i=1 j =1 i=1,12,0.8595447,0.877963305,0.577121,0,2
Find the order of growth of the following sums. Use the (g(n)) notation with the simplest function g(n) possible. a. ni =-01(i 2 +1)2 b. n-1 lg i2 i=2 ij-=10(i + j ) n-1 c. in=1(i + 1)2i-1 d. i=0,9,0.999134872,0.55921279,0.650932,3,1
"The sample variance of n measurements x1, . . . , xn can be computed as either in=1(xi - xų)2 n xi where xų = i=1 n-1 n or n xi2 - ( n xi )2/ n i=1 i=1 . n-1 Find and compare the number of divisions, multiplications, and additions/ subtractions (additions and subtractions are usually bunched together) that are required for computing the variance according to each of these formulas. ",14,0.982296899,0.938767691,0.586249,2,2
Find a Web site dedicated to applications of the Fibonacci numbers and study it.,1,0.97133402,0.952070879,0.861482,1,0
Fibonacci's rabbits problem A man put a pair of rabbits in a place surrounded by a wall. How many pairs of rabbits will be there in a year if the initial pair of rabbits (male and female) are newborn and all rabbit pairs are not fertile during their first month of life but thereafter give birth to one new male/female pair at the end of every month?,3,0.99833355,1,0.676073,3,0
"Climbing stairs Find the number of different ways to climb an n-stair staircase if each step is either one or two stairs. For example, a 3-stair staircase can be climbed three ways: 1-1-1, 1-2, and 2-",8,0.982629472,1,0.693711,2,1
"How many even numbers are there among the first n Fibonacci numbers, i.e., among the numbers F (0), F (1), . . . , F (n - 1)? Give a closed-form formula valid for every n > ",3,0.861982579,0.768029107,0.854578,3,0
"Apply quicksort to sort the list E, X, A, M, P , L, E in alphabetical order. Draw the tree of the recursive calls made. ",14,0.956157257,0.459152529,0.473398,2,2
"For the partitioning procedure outlined in this section: a. Prove that if the scanning indices stop while pointing to the same element, i.e., i = j, the value they are pointing to must be equal to p. b. Prove that when the scanning indices stop, j cannot point to an element more than one position to the left of the one pointed to by i. ",15,0.995847148,0.501556999,0.781496,3,2
Give an example showing that quicksort is not a stable sorting algorithm.,15,0.39437801,0.357191499,0.599397,3,2
Give an example of an array of n elements for which the sentinel mentioned in the text is actually needed. What should be its value? Also explain why a single sentinel suffices for any input.,15,0.981751412,0.3814527,0.532917,3,2
"For the version of quicksort given in this section: a. Are arrays made up of all equal elements the worst-case input, the bestcase input, or neither? b. Are strictly decreasing arrays the worst-case input, the best-case input, or neither? ",16,0.981473802,0.501556999,0.727414,4,2
"For quicksort with the median-of-three pivot selection, are strictly increasing arrays the worst-case input, the best-case input, or neither? b. Answer the same question for strictly decreasing arrays. ",16,0.999879746,0.501556999,0.87537,4,2
"Estimate how many times faster quicksort will sort an array of one million random numbers than insertion sort. b. True or false: For every n > 1, there are n-element arrays that are sorted faster by insertion sort than by quicksort? ",9,0.99294694,0.482958144,0.872019,3,1
"Design a divide-and-conquer algorithm for computing the number of levels in a binary tree. (In particular, the algorithm must return 0 and 1 for the empty and single-node trees, respectively.) What is the time efficiency class of your algorithm? ",17,0.826622987,0.292085344,0.517549,5,2
"The following algorithm seeks to compute the number of leaves in a binary tree. ALGORITHM LeafCounter(T ) //Computes recursively the number of leaves in a binary tree //Input: A binary tree T //Output: The number of leaves in T if T = return 0 else return LeafCounter(Tleft)+ LeafCounter(Tright) Is this algorithm correct? If it is, prove it; if it is not, make an appropriate correction. ",15,0.98318256,0.316805265,0.675232,3,2
"Can you compute the height of a binary tree with the same asymptotic efficiency as the section's divide-and-conquer algorithm but without using a stack explicitly or implicitly? Of course, you may use a different algorithm altogether. ",17,0.957142956,0.33039514,0.695864,5,2
Consider the problem of finding the distance between the two closest numbers in an array of n numbers. (The distance between two numbers x and y is computed as |x - y|.) a. Design a presorting-based algorithm for solving this problem and determine its efficiency class. b. Compare the efficiency of this algorithm with that of the brute-force algorithm (see Problem 9 in Exercises,17,0.995300882,0.246050321,0.594013,5,2
Which of the following binary trees are AVL trees? 5 5 5 3 6 4 6 3 6 2 8 2 8 1 2 7 9 1 3 7 9 (a) (b) (c),10,0.928249971,0.338960137,0.672806,4,1
"Construct a heap for the list 1, 8, 6, 5, 3, 7, 4 by the bottom-up algorithm.",14,0.204740274,1,0.47121,2,2
"Construct a heap for the list 1, 8, 6, 5, 3, 7, 4 by successive key insertions (top-down algorithm).",14,0.277544026,1,0.729736,2,2
Is it always true that the bottom-up and top-down algorithms yield the same heap for the same input?,15,0.096477858,1,0.343597,3,2
Find the smallest and the largest number of keys that a heap of height h can contain. b. Prove that the height of a heap with n nodes is equal to log2 n .,9,0.839825443,0.704306576,0.721623,3,1
Design an efficient algorithm for finding and deleting an element of the smallest value in a heap and determine its time efficiency.,16,0.171844363,1,0.468324,4,2
Design an efficient algorithm for finding and deleting an element of a given value v in a heap H and determine its time efficiency.,16,0.181967292,1,0.469776,4,2
Indicate the time efficiency classes of the three main operations of the priority queue implemented as a. an unsorted array. b. a sorted array. c. a binary search tree. d. an AVL tree. e. a heap.,16,0.817162238,1,0.539138,4,2
"Sort the following lists by heapsort by using the array representation of heaps. a. 1, 2, 3, 4, 5 (in increasing order) b. 5, 4, 3, 2, 1 (in increasing order) c. S, O, R, T, I, N, G (in alphabetical order) ",14,0.985726601,1,0.795563,2,2
Is heapsort a stable sorting algorithm?,7,0.838856637,1,0.752481,1,1
What variety of the transform-and-conquer technique does heapsort represent?,6,0.650057949,0.6399816,0.8058,0,1
Which sorting algorithm other than heapsort uses a priority queue?,6,0.736188468,1,0.727052,0,1
"Implement three advanced sorting algorithms--mergesort, quicksort, and heapsort--in the language of your choice and investigate their performance on arrays of sizes n = 103, 104, 105, and ",14,0.699457261,1,0.502313,2,2
Write pseudocode for the brute-force polynomial evaluation that stems from substituting a given value of the variable into the polynomial's formula and evaluating it from the lowest term to the highest one. Determine the number of multiplications and the number of additions made by this algorithm.,14,0.994835819,0.882694287,0.765566,2,2
"Estimate how much faster Horner's rule is compared to the ""lowest to highest term"" brute-force algorithm of Problem 2 if (i) the time of one multiplication is significantly larger than the time of one addition; (ii) the time of one multiplication is about the same as the time of one addition.",15,0.993139161,0.814453189,0.551877,3,2
Is Horner's rule more time efficient at the expense of being less space efficient than the brute-force algorithm?,6,0.791856929,0.511807224,0.596346,0,1
Apply Horner's rule to evaluate the polynomial p(x) = 3x4 - x3 + 2x + 5 at x = -,14,0.916097079,0.682238245,0.820393,2,2
Apply Horner's rule to convert 110100101 from binary to decimal.,14,0.969618921,1,0.669607,2,2
"Is it possible to exchange numeric values of two variables, say, u and v, without using any extra storage? ",23,0.924128396,1,0.593121,5,3
Will the comparison-counting algorithm work correctly for arrays with equal values?,15,0.984908923,1,0.503898,3,2
Give examples of using an index in real-life applications that do not involve computers.,9,0.970766282,0.15404029,0.392807,3,1
Find the minimum order of the B-tree that guarantees that the number of disk accesses in searching in a file of 100 million records does not exceed,8,0.992250391,0.985763363,0.664013,2,1
Draw the B-tree obtained after inserting 30 and then 31 in the B-tree in Figure,14,0.979240336,1,0.492034,2,2
Outline an algorithm for finding the largest key in a B-tree.,8,0.980871468,0.552868522,0.696747,2,1
Why is the time efficiency of algorithm OptimalBST cubic? b. Why is the space efficiency of algorithm OptimalBST quadratic?,16,0.535660479,0.41378158,0.620375,4,2
Write pseudocode for a linear-time algorithm that generates the optimal binary search tree from the root table.,17,0.981538655,0.822370617,0.762361,5,2
"Devise a way to compute the sums j ps , which are used in the dynamic s=i programming algorithm for constructing an optimal binary search tree, in constant time (per sum). ",17,0.974366433,0.815094345,0.748235,5,2
True or false: The root of an optimal binary search tree always contains the key with the highest search probability?,8,0.598380687,1,0.730689,2,1
How would you construct an optimal binary search tree for a set of n keys if all the keys are equally likely to be searched for? What will be the average number of comparisons in a successful search in such a tree if n = 2k?,15,0.877799378,1,0.765018,3,2
"Show that the number of distinct binary search trees b(n) that can be constructed for a set of n orderable keys satisfies the recurrence relation n-1 b(n) = b(k)b(n - 1 - k) for n > 0, b(0) = ",10,0.698624785,1,0.56373,4,1
Design a (n2) algorithm for finding an optimal binary search tree.,17,0.808280478,0.443883114,0.687206,5,2
Generalize the optimal binary search algorithm by taking into account unsuccessful searches.,17,0.674046551,0.981219372,0.742356,5,2
Apply Warshall's algorithm to find the transitive closure of the digraph defined by the following adjacency matrix: 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0,14,0.971912745,0.506661356,0.794319,2,2
Explain what adjustments if any need to be made in Dijkstra's algorithm and/or in an underlying graph to solve the following problems. a. Solve the single-source shortest-paths problem for directed weighted graphs. b. Find a shortest path between two given vertices of a weighted graph or digraph. (This variation is called the single-pair shortest-path problem.) c. Find the shortest paths to a given vertex from each other vertex of a weighted graph or digraph. (This variation is called the single-destination shortest-paths problem.) d. Solve the single-source shortest-paths problem in a graph with nonnegative numbers assigned to its vertices (and the length of a path defined as the sum of the vertex numbers on the path).,8,0.999961854,0.409301728,0.778521,2,1
"Solve the following linear programming problems geometrically. a. maximize 3x + y subject to -x + y 1 2x + y 4 x 0, y 0 b. maximize x + 2y subject to 4x y y 3+x x 0, y 0 ",8,0.484420006,0.20164503,0.657195,2,1
"Since maximum-flow algorithms require processing edges in both directions, it is convenient to modify the adjacency matrix representation of a network as follows. If there is a directed edge from vertex i to vertex j of capacity uij , then the element in the ith row and the j th column is set to uij , and the element in the j th row and the ith column is set to -uij ; if there is no edge between vertices i and j , both these elements are set to zero. Outline a simple algorithm for identifying a source and a sink in a network presented by such a matrix and indicate its time efficiency. ",17,0.999348862,0.309904188,0.619927,5,2
Apply the shortest-augmenting path algorithm to find a maximum flow and a minimum cut in the following networks. a. 5 2 1 2 5 6 4 4 3 7 4 8 6 b. 3 2 4 2 1 1 4 4 6 7 3 5 5 2,14,0.9999024,0.476796082,0.594952,2,2
Does the maximum-flow problem always have a unique solution? Would your answer be different for networks with different capacities on all their edges? b. Answer the same questions for the minimum-cut problem of finding a cut of the smallest capacity in a given network.,9,0.99986663,0.388248412,0.626091,3,1
Explain how the maximum-flow problem for a network with several sources and sinks can be transformed into the same problem for a network with a single source and a single sink. b. Some networks have capacity constraints on the flow amounts that can flow through their intermediate vertices. Explain how the maximum-flow problem for such a network can be transformed to the maximum-flow problem for a network with edge capacity constraints only.,21,0.999978672,0.458495453,0.806063,3,3
"Consider a network that is a rooted tree, with the root as its source, the leaves as its sinks, and all the edges directed along the paths from the root to the leaves. Design an efficient algorithm for finding a maximum flow in such a network. What is the time efficiency of your algorithm? ",17,0.99882914,0.210136476,0.47557,5,2
"Find a trivial lower-bound class for each of the following problems and indicate, if you can, whether this bound is tight. a. finding the largest element in an array b. checking completeness of a graph represented by its adjacency matrix c. generating all the subsets of an n-element set d. determining whether n given real numbers are all distinct ",15,0.952490253,0.5,0.51311,3,2
Consider the problem of identifying a lighter fake coin among n identicallooking coins with the help of a balance scale. Can we use the same information-theoretic argument as the one in the text for the number of questions in the guessing game to conclude that any algorithm for identifying the fake will need at least log2 n weighings in the worst case?,23,0.509356257,0.477112176,0.827215,5,3
Prove by mathematical induction that a. h log2 l for any binary tree with height h and the number of leaves l. b. h log3 l for any ternary tree with height h and the number of leaves l.,8,0.984097664,0.248451765,0.676757,2,1
"Some textbooks define the number of significant digits in the approximation of number by number as the largest nonnegative integer k for which | - | < 5 . 10-k. || According to this definition, how many significant digits are there in the approximation of by a. ",8,0.991768348,0.438547182,0.554635,2,1
