Questions,Manual Label,Log Reg,Gaussian,Linear,RBF,Polynomial
What is dual-mode operation?,Factual,Factual,Procedural,Factual,Factual,Factual
What is a device queue?,Factual,Factual,Factual,Factual,Factual,Factual
What are the different types of Real-Time Scheduling?,Factual,Factual,Procedural,Factual,Factual,Factual
What is relative path and absolute path?,Factual,Factual,Procedural,Factual,Factual,Factual
What are the disadvantages of context switching?,Factual,Factual,Factual,Factual,Factual,Factual
What is a data register and address register?,Factual,Factual,Procedural,Factual,Factual,Factual
What is DRAM?,Factual,Factual,Procedural,Factual,Factual,Factual
What are local and global page replacements?,Factual,Procedural,Factual,Factual,Factual,Factual
Explain the concept of the batched operating systems?,Conceptual,Factual,Factual,Factual,Factual,Factual
What is SCSI?,Factual,Factual,Procedural,Factual,Factual,Factual
When is a system in safe state?,Factual,Factual,Conceptual,Factual,Factual,Factual
What is cycle stealing?,Factual,Factual,Procedural,Factual,Factual,Factual
What is an idle thread?,Factual,Factual,Factual,Factual,Factual,Factual
What is FtDisk?,Factual,Factual,Factual,Factual,Factual,Factual
What is Dispatcher?,Factual,Procedural,Factual,Factual,Factual,Factual
When does the condition 'rendezvous' arise?,Factual,Procedural,Procedural,Factual,Factual,Factual
What is process spawning?,Factual,Factual,Factual,Factual,Factual,Factual
What are the reasons for process suspension?,Factual,Factual,Factual,Factual,Factual,Factual
What are the sub-components of I/O manager in Windows NT?,Factual,Procedural,Factual,Factual,Factual,Factual
What is a drawback of MVT?,Factual,Factual,Factual,Factual,Factual,Factual
"Given that the official purpose of the U.S. patent system is the promotion of the ""useful arts,"" do you think algorithms are patentable in this country? Should they be? ",Factual,Factual,Factual,Factual,Factual,Factual
Write down driving directions for going from your school to your home with the precision required from an algorithm's description. b. Write down a recipe for cooking your favorite dish with the precision required by an algorithm.,Factual,Factual,Factual,Factual,Factual,Factual
"Old World puzzle A peasant finds himself on a riverbank with a wolf, a goat, and a head of cabbage. He needs to transport all three to the other side of the river in his boat. However, the boat has room for only the peasant himself and one other item (either the wolf, the goat, or the cabbage). In his absence, the wolf would eat the goat, and the goat would eat the cabbage. Solve this problem for the peasant or prove it has no solution. (Note: The peasant is a vegetarian but does not like cabbage and hence can eat neither the goat nor the cabbage to help him solve the problem. And it goes without saying that the wolf is a protected species.) ",Factual,Factual,Procedural,Factual,Factual,Factual
"New World puzzle There are four people who want to cross a rickety bridge; they all begin on the same side. You have 17 minutes to get them all across to the other side. It is night, and they have one flashlight. A maximum of two people can cross the bridge at one time. Any party that crosses, either one or two people, must have the flashlight with them. The flashlight must be walked back and forth; it cannot be thrown, for example. Person 1 takes 1 minute to cross the bridge, person 2 takes 2 minutes, person 3 takes 5 minutes, and person 4 takes 10 minutes. A pair must walk together at the rate of the slower person's pace. (Note: According to a rumor on the Internet, interviewers at a well-known software company located near Seattle have given this problem to interviewees.) ",Factual,Factual,Factual,Factual,Factual,Factual
"Which of the following formulas can be considered an algorithm for computing the area of a triangle whose side lengths are given positive numbers a, b, and c? a. S= p(p - a)(p - b)(p - c), where p = (a + b + c)/2 b. S= 1 bc sin A, where A is the angle between sides b and c 2 c. S = 1 aha , where ha is the height to base a 2 ",Conceptual,Factual,Factual,Factual,Factual,Factual
"Write pseudocode for an algorithm for finding real roots of equation ax2 + bx + c = 0 for arbitrary real coefficients a, b, and c. (You may assume the availability of the square root function sqrt (x).) ",Conceptual,Factual,Procedural,Factual,Factual,Factual
Describe the standard algorithm for finding the binary representation of a positive decimal integer a. in English. b. in pseudocode.,Factual,Procedural,Procedural,Factual,Factual,Factual
"Describe the algorithm used by your favorite ATM machine in dispensing cash. (You may give your description in either English or pseudocode, whichever you find more convenient.) ",Conceptual,Factual,Factual,Factual,Factual,Factual
Name the algorithms for the searching problem that you already know. Give a good succinct description of each algorithm in English,Factual,Procedural,Factual,Factual,Factual,Factual
"Describe how one can implement each of the following operations on an array so that the time it takes does not depend on the array's size n. a. Delete the ith element of an array (1 i n). b. Delete the ith element of a sorted array (the remaining array has to stay sorted, of course). ",Conceptual,Factual,Factual,Factual,Factual,Factual
"If you have to solve the searching problem for a list of n numbers, how can you take advantage of the fact that the list is known to be sorted? Give separate answers for a. lists represented as arrays. b. lists represented as linked lists. ",Procedural,Procedural,Procedural,Factual,Factual,Factual
"Show the stack after each operation of the following sequence that starts with the empty stack: push(a), push(b), pop, push(c), push(d), pop b. Show the queue after each operation of the following sequence that starts with the empty queue: enqueue(a), enqueue(b), dequeue, enqueue(c), enqueue(d), dequeue ",Factual,Factual,Factual,Factual,Factual,Factual
"Let A be the adjacency matrix of an undirected graph. Explain what property of the matrix indicates that i. the graph is complete. ii. the graph has a loop, i.e., an edge connecting a vertex to itself. iii. the graph has an isolated vertex, i.e., a vertex with no edges incident to it. b. Answer the same questions for the adjacency list representation. ",Factual,Factual,Factual,Factual,Factual,Factual
Compute the following sums. a. 1 + 3 + 5 + 7 + . . . + 999 b. 2 + 4 + 8 + 16 + . . . + 1024 c. n+1 1 d. n+1 i e. n-1 i(i + 1) i=3 i=3 i=0 f. n 3j +1 g. n n ij h. n 1/ i(i + 1) j =1 i=1 j =1 i=1,Factual,Factual,Conceptual,Factual,Factual,Factual
Find the order of growth of the following sums. Use the (g(n)) notation with the simplest function g(n) possible. a. ni =-01(i 2 +1)2 b. n-1 lg i2 i=2 ij-=10(i + j ) n-1 c. in=1(i + 1)2i-1 d. i=0,Conceptual,Factual,Factual,Factual,Factual,Factual
"The sample variance of n measurements x1, . . . , xn can be computed as either in=1(xi - x_)2 n xi where x_ = i=1 n-1 n or n xi2 - ( n xi )2/ n i=1 i=1 . n-1 Find and compare the number of divisions, multiplications, and additions/ subtractions (additions and subtractions are usually bunched together) that are required for computing the variance according to each of these formulas. ",Conceptual,Factual,Factual,Factual,Factual,Factual
Find a Web site dedicated to applications of the Fibonacci numbers and study it.,Conceptual,Factual,Factual,Factual,Factual,Factual
Fibonacci's rabbits problem A man put a pair of rabbits in a place surrounded by a wall. How many pairs of rabbits will be there in a year if the initial pair of rabbits (male and female) are newborn and all rabbit pairs are not fertile during their first month of life but thereafter give birth to one new male/female pair at the end of every month?,Factual,Factual,Factual,Factual,Factual,Factual
"Climbing stairs Find the number of different ways to climb an n-stair staircase if each step is either one or two stairs. For example, a 3-stair staircase can be climbed three ways: 1-1-1, 1-2, and 2-",Factual,Procedural,Procedural,Factual,Factual,Factual
"How many even numbers are there among the first n Fibonacci numbers, i.e., among the numbers F (0), F (1), . . . , F (n - 1)? Give a closed-form formula valid for every n > ",Conceptual,Factual,Factual,Factual,Factual,Factual
"Apply quicksort to sort the list E, X, A, M, P , L, E in alphabetical order. Draw the tree of the recursive calls made. ",Conceptual,Procedural,Factual,Factual,Factual,Factual
"For the partitioning procedure outlined in this section: a. Prove that if the scanning indices stop while pointing to the same element, i.e., i = j, the value they are pointing to must be equal to p. b. Prove that when the scanning indices stop, j cannot point to an element more than one position to the left of the one pointed to by i. ",Factual,Procedural,Procedural,Factual,Factual,Factual
Give an example showing that quicksort is not a stable sorting algorithm.,Conceptual,Procedural,Procedural,Factual,Factual,Factual
Give an example of an array of n elements for which the sentinel mentioned in the text is actually needed. What should be its value? Also explain why a single sentinel suffices for any input.,Conceptual,Factual,Factual,Factual,Factual,Factual
"For the version of quicksort given in this section: a. Are arrays made up of all equal elements the worst-case input, the bestcase input, or neither? b. Are strictly decreasing arrays the worst-case input, the best-case input, or neither? ",Factual,Procedural,Factual,Factual,Factual,Factual
"For quicksort with the median-of-three pivot selection, are strictly increasing arrays the worst-case input, the best-case input, or neither? b. Answer the same question for strictly decreasing arrays. ",Conceptual,Factual,Factual,Factual,Factual,Factual
"Estimate how many times faster quicksort will sort an array of one million random numbers than insertion sort. b. True or false: For every n > 1, there are n-element arrays that are sorted faster by insertion sort than by quicksort? ",Factual,Procedural,Procedural,Factual,Factual,Factual
"Design a divide-and-conquer algorithm for computing the number of levels in a binary tree. (In particular, the algorithm must return 0 and 1 for the empty and single-node trees, respectively.) What is the time efficiency class of your algorithm? ",Conceptual,Procedural,Procedural,Factual,Factual,Factual
"The following algorithm seeks to compute the number of leaves in a binary tree. ALGORITHM LeafCounter(T ) //Computes recursively the number of leaves in a binary tree //Input: A binary tree T //Output: The number of leaves in T if T = return 0 else return LeafCounter(Tleft)+ LeafCounter(Tright) Is this algorithm correct? If it is, prove it; if it is not, make an appropriate correction. ",Factual,Factual,Factual,Factual,Factual,Factual
"Can you compute the height of a binary tree with the same asymptotic efficiency as the section's divide-and-conquer algorithm but without using a stack explicitly or implicitly? Of course, you may use a different algorithm altogether. ",Conceptual,Factual,Factual,Factual,Factual,Factual
Consider the problem of finding the distance between the two closest numbers in an array of n numbers. (The distance between two numbers x and y is computed as |x - y|.) a. Design a presorting-based algorithm for solving this problem and determine its efficiency class. b. Compare the efficiency of this algorithm with that of the brute-force algorithm (see Problem 9 in Exercises,Factual,Factual,Factual,Factual,Factual,Factual
Which of the following binary trees are AVL trees? 5 5 5 3 6 4 6 3 6 2 8 2 8 1 2 7 9 1 3 7 9 (a) (b) (c),Factual,Procedural,Procedural,Factual,Factual,Factual
"Construct a heap for the list 1, 8, 6, 5, 3, 7, 4 by the bottom-up algorithm.",Factual,Procedural,Procedural,Factual,Factual,Factual
"Construct a heap for the list 1, 8, 6, 5, 3, 7, 4 by successive key insertions (top-down algorithm).",Conceptual,Procedural,Procedural,Factual,Factual,Factual
Is it always true that the bottom-up and top-down algorithms yield the same heap for the same input?,Conceptual,Factual,Factual,Factual,Factual,Factual
Find the smallest and the largest number of keys that a heap of height h can contain. b. Prove that the height of a heap with n nodes is equal to log2 n .,Conceptual,Procedural,Factual,Factual,Factual,Factual
Design an efficient algorithm for finding and deleting an element of the smallest value in a heap and determine its time efficiency.,Conceptual,Factual,Procedural,Factual,Factual,Factual
Design an efficient algorithm for finding and deleting an element of a given value v in a heap H and determine its time efficiency.,Conceptual,Factual,Factual,Factual,Factual,Factual
Indicate the time efficiency classes of the three main operations of the priority queue implemented as a. an unsorted array. b. a sorted array. c. a binary search tree. d. an AVL tree. e. a heap.,Conceptual,Factual,Factual,Factual,Factual,Factual
"Sort the following lists by heapsort by using the array representation of heaps. a. 1, 2, 3, 4, 5 (in increasing order) b. 5, 4, 3, 2, 1 (in increasing order) c. S, O, R, T, I, N, G (in alphabetical order) ",Conceptual,Factual,Factual,Factual,Factual,Factual
Is heapsort a stable sorting algorithm?,Factual,Procedural,Factual,Factual,Factual,Factual
What variety of the transform-and-conquer technique does heapsort represent?,Conceptual,Procedural,Factual,Factual,Factual,Factual
Which sorting algorithm other than heapsort uses a priority queue?,Conceptual,Factual,Factual,Factual,Factual,Factual
"Implement three advanced sorting algorithms--mergesort, quicksort, and heapsort--in the language of your choice and investigate their performance on arrays of sizes n = 103, 104, 105, and ",Conceptual,Factual,Factual,Factual,Factual,Factual
Write pseudocode for the brute-force polynomial evaluation that stems from substituting a given value of the variable into the polynomial's formula and evaluating it from the lowest term to the highest one. Determine the number of multiplications and the number of additions made by this algorithm.,Factual,Procedural,Factual,Factual,Factual,Factual
"Estimate how much faster Horner's rule is compared to the ""lowest to highest term"" brute-force algorithm of Problem 2 if (i) the time of one multiplication is significantly larger than the time of one addition; (ii) the time of one multiplication is about the same as the time of one addition.",Factual,Factual,Factual,Factual,Factual,Factual
Is Horner's rule more time efficient at the expense of being less space efficient than the brute-force algorithm?,Conceptual,Factual,Procedural,Factual,Factual,Factual
Apply Horner's rule to evaluate the polynomial p(x) = 3x4 - x3 + 2x + 5 at x = -,Conceptual,Factual,Factual,Factual,Factual,Factual
Apply Horner's rule to convert 110100101 from binary to decimal.,Conceptual,Factual,Procedural,Factual,Factual,Factual
"Is it possible to exchange numeric values of two variables, say, u and v, without using any extra storage? ",Conceptual,Procedural,Factual,Factual,Factual,Factual
