,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Consider the following workload: Show the schedule using shortest remaining time, nonpreemptive priority (a smaller priority number implies higher priority) and round robin with quantum 30 ms. Use time scale diagram as shown below for the FCFS example to show the schedule for each requested scheduling policy. What is the average waiting time of the above scheduling policies?",,Evaluate,,,,
"Consider a system with memory mapping done on a page basis and using a single level page table. Assume that the necessary page table is always in memory. If a memory reference takes 200 ns, how long does a paged memory reference take?",,Evaluate,,,,
Assume you want to implement a hashed inverted page table for the same. How much memory space is needed for the user page table of Figure 8.4?,,Evaluate,,,,
"One scheme to avoid the problem of preallocation versus waste or lack of contiguity is to allocate portions of increasing size as the file grows. For example, begin with a portion size of one block, and double the portion size for each allocation. Consider a file of n records with a blocking factor of F, and suppose that a simple one-level index is used as a file allocation table. Give an upper limit on the number of entries in the file allocation table as a function of F and n.",,Evaluate,,,,
What is a digital immune system?,,Remember,,,,
State the advantages of segmented paging over pure segmentation?,,Remember,,,,
What criteria are important in choosing a file organization?,,Analyse,,,,
Give four general examples of the use of threads in a single-user multiprocessing system.,,Remember,,,,
List and briefly define five file organizations.,,Remember,,,,
Consider the following fragment: <CODE> What type of malicious software is this?,,Understand,,,,
How can the speed of interrupt driven input output systems be improved?,,Analyse,,,,
What is a library?,,Remember,,,,
"The UNIX kernel will dynamically grow a processâ€™s stack in virtual memory as needed, but it will never try to shrink it. Consider the case in which a program calls a C subroutine that allocates a local array on the stack that consumes 10 K. The kernel will expand the stack segment to accommodate it. When the subroutine returns, the stack pointer is adjusted and this space could be released by the kernel, but it is not released. Explain why it would be possible to shrink the stack at this point and why the UNIX kernel does not shrink it.",,Understand,,,,
"Assume that a task is divided into four equal-sized segments and that the system builds an eight-entry page descriptor table for each segment. Thus, the system has a combination of segmentation and paging. Assume also that the page size is 2 Kbytes. Assume that an element in physical location 00021ABC is accessed by this task. What is the format of the logical address that the task generates for it? What is the maximum physical address space for the system?",,Evaluate,,,,
