Questions,Manual Label,NSQ,LDA,LSA,Cognitive
List and briefly define the four main elements of a computer.,0,0.715812497234,0.249360384072,0.487392,0
Define the two main categories of processor registers.,0,0.208936081892,0.375936394835,0.452785,0
"In general terms, what are the four distinct actions that a machine instruction can specify?",0,0.781664233078,0.360004526916,0.681999,0
What is an interrupt?,0,0.128615135946,0.0,0.0,0
How are multiple interrupts dealt with?,1,0.451719896727,0.312508008696,0.737284,1
What characteristics distinguish the various elements of a memory hierarchy?,1,0.69429030076,0.638621979273,0.490218,1
What is cache memory?,0,0.788315865834,0.299900892615,0.872958,0
What is the difference between a multiprocessor and a multicore system?,0,0.88953866175,0.411952225005,0.56552,0
What is the distinction between spatial locality and temporal locality?,1,0.977228973802,1.0,0.870521,1
"In general, what are the strategies for exploiting spatial locality and temporal locality?",7,0.869631788511,1.0,0.86518,1
What are three objectives of an OS design?,1,0.153569245519,0.764793755986,0.663461,1
What is the kernel of an OS?,0,0.784136533805,0.317698508005,0.506124,0
What is multiprogramming?,0,0.200871742012,0.0,0.0,0
What is a process?,0,0.171483740529,0.512417277302,0.762889,0
How is the execution context of a process used by the OS?,0,0.321804669244,0.354971314386,0.560156,0
List and briefly explain five storage management responsibilities of a typical OS.,1,0.596993061425,0.395727038865,0.480312,1
Explain the distinction between a real address and a virtual address.,0,0.652790925881,0.543968797525,0.703961,0
Describe the round-robin scheduling technique.,0,0.430854677686,0.601372805829,0.815443,0
Explain the difference between a monolithic kernel and a microkernel.,1,0.503098254914,0.531521223389,0.554006,1
What is multithreading?,0,0.203506721532,0.0,0.0,0
List the key design issues for an SMP operating system.,0,0.534830670863,0.764793755986,0.532448,0
What is an instruction trace?,0,0.300576365902,0.379837673501,0.753002,0
What common events lead to the creation of a process?,1,0.565680723705,0.302145391284,0.560454,1
"For the processing model of Figure 3.6, briefly define each state.",0,0.793505751367,0.658239227733,0.525814,0
What does it mean to preempt a process?,0,0.449939250569,0.261858418034,0.642942,0
What is swapping and what is its purpose?,6,0.770027699164,0.458223463846,0.479623,0
Why does Figure 3.9b have two blocked states?,7,0.364880779815,0.479912639689,0.646905,1
List four characteristics of a suspended process.,0,0.793130016129,0.260632566126,0.565751,0
For what types of entities does the OS maintain tables of information for management purposes?,7,0.652797162743,0.578118413166,0.778019,1
List three general categories of information in a process control block.,0,0.248186344216,0.36304199369,0.719271,0
Why are two modes (user and kernel) needed?,7,0.255531428256,0.479912639689,0.739519,1
What are the steps performed by an OS to create a new process?,12,0.189083665849,0.180936334942,0.572281,0
What is the difference between an interrupt and a trap?,0,0.25446546422,0.658239227733,0.453139,0
Give three examples of an interrupt.,0,0.14719282754,0.424606752297,0.535892,0
What is the difference between a mode switch and a process switch?,0,0.885053086448,0.479912639689,0.742987,0
"Table 3.5 lists typical elements found in a process control block for an unthreaded OS. Of these, which should belong to a thread control block and which should belong to a process control block for a multithreaded system?",7,0.522290903642,0.503312536084,0.542611,1
List reasons why a mode switch between threads may be cheaper than a mode switch between processes.,7,0.864448538597,1.0,0.57584,1
What are the two separate and potentially independent characteristics embodied in the concept of process?,7,0.361402986188,0.412503067575,0.492927,1
Give four general examples of the use of threads in a single-user multiprocessing system.,0,0.907121600947,0.446322731422,0.747361,0
What resources are typically shared by all of the threads of a process?,0,0.30014284532,0.451969149495,0.702309,0
List three advantages of ULTs over KLTs.,6,0.652919098381,1.0,0.714895,0
List two disadvantages of ULTs compared to KLTs.,6,0.942774906942,0.940834470212,0.674172,0
Define jacketing.,0,0.55848470786,0.403744612146,0.497941,0
List four design issues for which the concept of concurrency is relevant.,6,0.5421594791,0.364838494789,0.666886,0
What are three contexts in which concurrency arises?,6,0.551192195132,0.517911154175,0.697309,0
What is the basic requirement for the execution of concurrent processes?,0,0.28429812613,0.481112961135,0.705569,0
List three degrees of awareness between processes and briefly define each.,6,0.554384511253,0.40557049391,0.502019,0
What is the distinction between competing processes and cooperating processes?,0,0.60185937192,0.517911154175,0.616722,0
List the three control problems associated with competing processes and briefly de- fine each.,6,0.506416115429,0.517911154175,0.58109,0
List the requirements for mutual exclusion.,0,0.365255158688,0.422386127572,0.715189,0
What operations can be performed on a semaphore?,6,0.515046498944,0.517911154175,0.45015,0
Give examples of reusable and consumable resources.,0,0.475062608776,0.535578933537,0.705025,0
What are the three conditions that must be present for deadlock to be possible?,0,0.377333593956,0.757762636722,0.880292,0
What are the four conditions that create deadlock?,0,0.815182749869,0.298474915522,0.783907,0
How can the hold-and-wait condition be prevented?,6,0.957103875618,0.306104922889,0.634145,0
List two ways in which the no-preemption condition can be prevented.,6,0.950618509139,0.479038938967,0.69743,0
How can the circular wait condition be prevented?,6,0.378472117959,0.295446457175,0.620513,0
"What is the difference among deadlock avoidance, detection, and prevention?",6,0.762990178291,0.361577074826,0.920651,0
What requirements is memory management intended to satisfy?,7,0.191562338514,0.671623626056,0.804216,1
Why is the capability to relocate processes desirable?,6,0.491798898448,0.7493808821,0.546904,0
Why is it not possible to enforce memory protection at compile time?,6,0.29343263596,0.7493808821,0.708035,0
What are some reasons to allow two or more processes to all have access to a particular region of memory?,0,0.104134423352,0.7493808821,0.442544,0
"In a fixed-partitioning scheme, what are the advantages of using unequal-size partitions?",6,0.419761618073,0.7493808821,0.780746,0
What is the difference between internal and external fragmentation?,6,0.553175844778,0.7493808821,0.601119,0
"What are the distinctions among logical, relative, and physical addresses?",7,0.612010960505,0.7493808821,0.867763,1
What is the difference between a page and a frame?,0,0.49590453827,0.7493808821,0.794616,0
What is the difference between a page and a segment?,0,0.582310548953,0.7493808821,0.820498,0
What is the difference between simple paging and virtual memory paging?,6,0.368560212196,0.317347039543,0.857547,0
Explain thrashing.,6,0.401133764398,0.379912431278,0.655267,0
Why is the principle of locality crucial to the use of virtual memory?,7,0.827912953875,0.379912431278,0.602839,1
What elements are typically found in a page table entry? Briefly define each element.,6,0.311733698828,0.379912431278,0.728566,0
What is the purpose of a translation lookaside buffer?,6,0.521132978536,0.379912431278,0.647134,0
Briefly define the alternative page fetch policies.,7,0.458148368375,0.379912431278,0.748237,1
What is the difference between resident set management and page replacement policy?,6,0.581744856469,0.209399695189,0.844302,0
What is the relationship between FIFO and clock page replacement algorithms?,13,0.796254095893,0.367605043495,0.838989,1
What is accomplished by page buffering?,7,0.620900557277,0.379912431278,0.813244,1
Why is it not possible to combine a global replacement policy and a fixed allocation policy?,7,0.991874273812,0.216014253738,0.545676,1
What is the difference between a resident set and a working set?,6,0.482486291141,0.23421801017,0.557648,0
What is the difference between demand cleaning and precleaning?,6,0.518329235491,0.379912431278,0.697164,0
Briefly describe the three types of processor scheduling.,6,0.337622421347,0.309824657341,0.712608,0
What is usually the critical performance requirement in an interactive operating system?,0,0.274514546553,0.658239227733,0.61715,0
What is the difference between turnaround time and response time?,0,0.517067162289,0.658239227733,0.748348,0
"For process scheduling, does a low-priority value represent a low priority or a high priority?",0,0.814319819349,0.658239227733,0.528274,0
What is the difference between preemptive and nonpreemptive scheduling?,6,0.324739281879,0.658239227733,0.618776,0
Briefly define FCFS scheduling.,6,0.608275323493,0.658239227733,0.749415,0
Briefly define round-robin scheduling.,6,0.531668557244,0.658239227733,0.748528,0
Briefly define shortest-process-next scheduling.,6,0.625625721749,0.658239227733,0.747942,0
Briefly define shortest-remaining-time scheduling.,6,0.676686897247,0.658239227733,0.747418,0
Briefly define highest-response-ratio-next scheduling.,6,0.616896843123,0.658239227733,0.747418,0
Briefly define feedback scheduling.,6,0.522602639999,0.658239227733,0.743783,0
List and briefly define five different categories of synchronization granularity.,6,0.646287918615,0.211137776909,0.499599,0
List and briefly define four techniques for thread scheduling.,6,0.957924977811,0.505224310739,0.591577,0
List and briefly define three versions of load sharing.,6,0.752071427321,0.379912431278,0.522607,0
What is the difference between hard and soft real-time tasks?,6,0.936495164928,0.210579562054,0.789939,0
What is the difference between periodic and aperiodic real-time tasks?,6,0.975898734793,0.270621945123,0.861529,0
List and briefly define five general areas of requirements for a real-time operating system.,0,0.523885262994,0.276846249493,0.618941,0
List and briefly define four classes of real-time scheduling algorithms.,6,0.501275111444,0.459515286829,0.664202,0
What items of information about a task might be useful in real-time scheduling?,7,0.860345567637,0.352367342881,0.79812,1
List and briefly define three techniques for performing I/O.,6,0.327784233022,0.418467846064,0.510754,0
What is the difference between logical I/O and device I/O?,6,0.236653616386,0.937974404519,0.745562,0
What is the difference between block-oriented devices and stream-oriented devices? Give a few examples of each.,0,0.468677270649,0.496274823507,0.632883,0
Why would you expect improved performance using a double buffer rather than a single buffer for I/O?,9,0.266922804149,0.355469654965,0.641155,3
What delay elements are involved in a disk read or write?,7,0.313717031086,0.40961232175,0.704512,1
Briefly define the disk scheduling policies illustrated in Figure 11.7.,1,0.421955183154,0.305749954125,0.595556,1
Briefly define the seven RAID levels.,1,0.572760087667,0.377522525274,0.84434,1
What is the typical disk sector size?,1,0.485348161532,0.63066211781,0.64855,1
What is the difference between a field and a record?,1,0.342108786989,0.217693934569,0.696792,1
What is the difference between a file and a database?,1,0.365728147999,0.379912431278,0.453139,1
What is a file management system?,1,0.184608722865,0.946701830711,0.513086,1
What criteria are important in choosing a file organization?,9,0.344046604605,0.32306480191,0.623756,3
List and briefly define five file organizations.,0,0.75396859324,0.426432732514,0.566061,0
Why is the average search time to find a record in a file less for an indexed sequential file than for a sequential file?,10,0.508861254938,0.426564504331,0.928889,4
What are typical operations that may be performed on a directory?,0,0.906178473374,0.437476180891,0.569252,0
What is the relationship between a pathname and a working directory?,1,0.961831147969,0.360293527791,0.623568,1
What are typical access rights that may be granted or denied to a particular user for a particular file?,0,0.568831702846,0.312532880284,0.786788,0
List and briefly define three blocking methods.,0,0.686279017906,0.375292964921,0.537632,0
List and briefly define three file allocation methods.,0,0.267511496414,0.402636553385,0.623538,0
What is an embedded system?,0,0.43456248528,0.486310649004,0.895736,0
What are some typical requirements or constraints on embedded systems?,1,0.491874100284,0.222757308226,0.87097,1
What is an embedded OS?,0,0.608907039851,0.22094198398,0.881229,0
What are some of the key characteristics of an embedded OS?,0,0.545888307917,0.301444578702,0.861838,0
Explain the relative advantages and disadvantages of an embedded OS based on an existing commercial OS compared to a purpose-built embedded OS.,10,0.657347087527,0.766091685911,0.864354,4
What are the principal objectives that guided the design of the eCos kernel?,1,0.510083184733,0.609997165839,0.709178,1
"In eCos, what is the difference between an interrupt service routine and a deferred service routine?",0,0.686319452664,0.25078905472,0.713958,0
What concurrency mechanisms are available in eCos?,0,0.466864983719,0.831469611982,0.682892,0
What is the target application for TinyOS?,0,0.986620214717,0.318180626563,0.475148,0
What are the design goals for TinyOS?,0,0.428314451325,0.454133385855,0.669769,0
What is a TinyOS component?,0,0.843819357801,1.0,0.768694,0
What software comprises the TinyOS operating system?,0,0.705478694611,0.454133385855,0.688595,0
What is the default scheduling discipline for TinyOS?,0,0.519211293486,0.335620812123,0.731374,0
Define computer security.,0,0.493825419721,0.295021978165,0.594626,0
What are the fundamental requirements addressed by computer security?,1,0.262588556598,1.0,0.47673,1
What is the difference between passive and active security threats?,0,0.613098010521,1.0,0.625382,0
List and briefly define three classes of intruders.,0,0.368652692608,0.588362808171,0.529868,0
List and briefly define three intruder behavior patterns.,0,0.823050095641,1.0,0.536909,0
What is the role of compression in the operation of a virus?,9,0.6059318583,1.0,0.643749,3
What is the role of encryption in the operation of a virus?,9,0.567234641523,1.0,0.624169,3
What are typical phases of operation of a virus or worm?,0,0.422047150723,1.0,0.78692,0
"In general terms, how does a worm propagate?",7,0.73976518975,1.0,0.591133,1
What is the difference between a bot and a rootkit?,0,0.527638041753,0.518289394046,0.533189,0
"In general terms, what are four means of authenticating a user’s identity?",1,0.228182651603,0.484904231726,0.532664,1
Explain the purpose of the salt in Figure 15.1.,1,0.707949259799,0.509333019563,0.822577,1
