Questions,Manual Label,NSQ,LDA,LSA,Cognitive
List and briefly define the four main elements of a computer.,0,0.0258381363074,1,1,0
Define the two main categories of processor registers.,0,0.0272874354493,1,1,0
"In general terms, what are the four distinct actions that a machine instruction can specify?",0,0.0291714820207,1,1,0
What is an interrupt?,0,0.016393442623,1,1,0
How are multiple interrupts dealt with?,1,0.0328085183543,1,1,1
What characteristics distinguish the various elements of a memory hierarchy?,1,0.0379363138213,1,1,1
What is cache memory?,0,0.0264823596127,1,1,0
What is the difference between a multiprocessor and a multicore system?,0,0.0546033151134,1,1,0
What is the distinction between spatial locality and temporal locality?,1,0.0297651934911,1,1,1
"In general, what are the strategies for exploiting spatial locality and temporal locality?",7,0.0334939773945,1,1,1
What are three objectives of an OS design?,1,0.016393442623,1,1,1
What is the kernel of an OS?,0,0.0283562166551,1,1,0
What is multiprogramming?,0,0.0225787731654,1,1,0
What is a process?,0,0.016393442623,1,1,0
How is the execution context of a process used by the OS?,0,0.0335785218134,1,1,0
List and briefly explain five storage management responsibilities of a typical OS.,1,0.0475834919648,1,1,1
Explain the distinction between a real address and a virtual address.,0,0.0299826944431,1,1,0
Describe the round-robin scheduling technique.,0,0.0268605489529,1,1,0
Explain the difference between a monolithic kernel and a microkernel.,1,0.0738576722235,1,1,1
What is multithreading?,0,0.0299855727206,1,1,0
List the key design issues for an SMP operating system.,0,0.0256519194966,1,1,0
What is an instruction trace?,0,0.016393442623,1,1,0
What common events lead to the creation of a process?,1,0.0356354615871,1,1,1
"For the processing model of Figure 3.6, briefly define each state.",0,0.039799859419,1,1,0
What does it mean to preempt a process?,0,0.0396656199,1,1,0
What is swapping and what is its purpose?,6,0.0450578434405,1,1,0
Why does Figure 3.9b have two blocked states?,7,0.0342650859201,1,1,1
List four characteristics of a suspended process.,0,0.0213645543768,1,1,0
For what types of entities does the OS maintain tables of information for management purposes?,7,0.0304617405279,1,1,1
List three general categories of information in a process control block.,0,0.0382556459076,1,1,0
Why are two modes (user and kernel) needed?,7,0.0260790049219,1,1,1
What are the steps performed by an OS to create a new process?,12,0.0495262394626,1,1,0
What is the difference between an interrupt and a trap?,0,0.016393442623,1,1,0
Give three examples of an interrupt.,0,0.016393442623,1,1,0
What is the difference between a mode switch and a process switch?,0,0.0257879502495,1,1,0
"Table 3.5 lists typical elements found in a process control block for an unthreaded OS. Of these, which should belong to a thread control block and which should belong to a process control block for a multithreaded system?",7,0.0423869598275,1,1,1
List reasons why a mode switch between threads may be cheaper than a mode switch between processes.,7,0.0214216077694,1,1,1
What are the two separate and potentially independent characteristics embodied in the concept of process?,7,0.0799010339013,1,1,1
Give four general examples of the use of threads in a single-user multiprocessing system.,0,0.0411910919287,1,1,0
What resources are typically shared by all of the threads of a process?,0,0.198149330488,1,1,0
List three advantages of ULTs over KLTs.,6,0.150779209965,1,1,0
List two disadvantages of ULTs compared to KLTs.,6,0.165368426462,1,1,0
Define jacketing.,0,0.0338546697725,1,1,0
List four design issues for which the concept of concurrency is relevant.,6,0.0281209944825,1,1,0
What are three contexts in which concurrency arises?,6,0.0396462253216,1,1,0
What is the basic requirement for the execution of concurrent processes?,0,0.038180553716,1,1,0
List three degrees of awareness between processes and briefly define each.,6,0.0252539962419,1,1,0
What is the distinction between competing processes and cooperating processes?,0,0.0260821807928,1,1,0
List the three control problems associated with competing processes and briefly de- fine each.,6,0.0451063488527,1,1,0
List the requirements for mutual exclusion.,0,0.0374338490515,1,1,0
What operations can be performed on a semaphore?,6,0.0304408656379,1,1,0
Give examples of reusable and consumable resources.,0,0.0517919655165,1,1,0
What are the three conditions that must be present for deadlock to be possible?,0,0.0532027113066,1,1,0
What are the four conditions that create deadlock?,0,0.0532027113066,1,1,0
How can the hold-and-wait condition be prevented?,6,0.0329049405196,1,1,0
List two ways in which the no-preemption condition can be prevented.,6,0.0411399274768,1,1,0
How can the circular wait condition be prevented?,6,0.044485198482,1,1,0
"What is the difference among deadlock avoidance, detection, and prevention?",6,0.0377609223815,1,1,0
What requirements is memory management intended to satisfy?,7,0.0183988180441,1,1,1
Why is the capability to relocate processes desirable?,6,0.0369213034936,1,1,0
Why is it not possible to enforce memory protection at compile time?,6,0.0279979466439,1,1,0
What are some reasons to allow two or more processes to all have access to a particular region of memory?,0,0.0305856433916,1,1,0
"In a fixed-partitioning scheme, what are the advantages of using unequal-size partitions?",6,0.121044311831,1,1,0
What is the difference between internal and external fragmentation?,6,0.0430495873477,1,1,0
"What are the distinctions among logical, relative, and physical addresses?",7,0.0284347695785,1,1,1
What is the difference between a page and a frame?,0,0.023933565249,1,1,0
What is the difference between a page and a segment?,0,0.041011431876,1,1,0
What is the difference between simple paging and virtual memory paging?,6,0.023933565249,1,1,0
Explain thrashing.,6,0.0325205403192,1,1,0
Why is the principle of locality crucial to the use of virtual memory?,7,0.062322613807,1,1,1
What elements are typically found in a page table entry? Briefly define each element.,6,0.0329846107207,1,1,0
