Questions,Manual Label,Log Reg,Gaussian,Linear,RBF,Polynomial
What is a named pipe?,Factual,Factual,Procedural,Factual,Factual,Factual
What are the various IPC mechanisms?,Factual,Factual,Factual,Factual,Factual,Factual
What is a semaphore?,Factual,Factual,Factual,Factual,Factual,Factual
What kind of operations are possible on a semaphore?,Factual,Factual,Factual,Factual,Factual,Factual
What is context switching?,Factual,Factual,Factual,Factual,Factual,Factual
Tell us something about Mutex.,Factual,Factual,Factual,Factual,Factual,Factual
What is a critical section?,Factual,Factual,Factual,Factual,Factual,Factual
What is synchronization? What are the different synchronization mechanisms?,Factual,Factual,Factual,Factual,Factual,Factual
What is the basic difference between pre-emptive and non-pre-emptive scheduling.,Conceptual,Conceptual,Procedural,Factual,Factual,Factual
Is non-pre-emptive scheduling frequently used in a computer? Why?,Factual,Conceptual,Factual,Factual,Factual,Factual
Explain condition variable.,Factual,Conceptual,Factual,Factual,Factual,Factual
What are read-write locks?,Factual,Factual,Factual,Factual,Factual,Factual
What is a deadlock?,Factual,Factual,Factual,Factual,Factual,Factual
What are the necessary conditions for deadlock to occur?,Factual,Factual,Factual,Factual,Factual,Factual
Name the functions constituting the OS's memory management.,Factual,Factual,Factual,Factual,Factual,Factual
Name the different types of memory?,Factual,Conceptual,Factual,Factual,Factual,Factual
Throw some light on Internal Process Memory.,Factual,Factual,Procedural,Factual,Factual,Factual
Explain compaction.,Factual,Factual,Factual,Factual,Factual,Factual
What are page frames?,Factual,Factual,Factual,Factual,Factual,Factual
What are pages?,Factual,Factual,Factual,Factual,Factual,Factual
Differentiate between logical and physical address.,Factual,Conceptual,Factual,Factual,Factual,Factual
When does page fault error occur?,Factual,Factual,Factual,Factual,Factual,Factual
Explain thrashing.,Factual,Factual,Factual,Factual,Factual,Factual
What are the basic functions of file management in OS?,Factual,Factual,Procedural,Factual,Factual,Factual
Explain thread.,Conceptual,Factual,Factual,Factual,Factual,Factual
What are the advantage of using threads?,Conceptual,Factual,Factual,Factual,Factual,Factual
What are the disadvantages of using threads?,Factual,Factual,Procedural,Factual,Factual,Factual
What is a compiler?,Conceptual,Factual,Factual,Factual,Factual,Factual
What is a library?,Factual,Conceptual,Factual,Factual,Factual,Factual
What are the advantages of distributed system?,Conceptual,Factual,Factual,Factual,Factual,Factual
What are the different types of scheduling algorithms?,Procedural,Factual,Factual,Factual,Factual,Factual
Why is round robin algorithm considered better than first come first served algorithm?,Factual,Factual,Factual,Factual,Factual,Factual
Explain how a copying garbage collector works. How can it be implemented using semispaces?,Factual,Factual,Factual,Factual,Factual,Factual
How does reference counting manage memory allocated objects? When can it fail to reclaim objects?,Factual,Factual,Factual,Factual,Factual,Factual
What differences are there between a semaphore wait signal and a condition variable wait signal?,Conceptual,Factual,Factual,Factual,Factual,Factual
For a deadlock to occur what are the necessary conditions,Conceptual,Factual,Factual,Factual,Factual,Factual
Why is the context switch overhead of a user-level threading lesser as compared to the overhead for processes? Explain.,Conceptual,Factual,Factual,Factual,Factual,Factual
State the advantages of segmented paging over pure segmentation?,Factual,Factual,Factual,Factual,Factual,Factual
When does the Belady's anomaly occur?,Factual,Factual,Procedural,Factual,Factual,Factual
What complications does concurrent processing add to an operating system?,Conceptual,Procedural,Factual,Factual,Factual,Factual
How can a VFS layer allow multiple file systems support?,Conceptual,Factual,Procedural,Factual,Factual,Factual
What are the pros and cons of using circuit switching?,Factual,Factual,Factual,Factual,Factual,Factual
What problems are faced during the implementation of a network-transparent system?,Conceptual,Factual,Procedural,Factual,Factual,Factual
Explain the layers of a Windows XP system.,Conceptual,Factual,Factual,Factual,Factual,Factual
Explain the booting process of a Windows XP system.,Factual,Procedural,Factual,Factual,Factual,Factual
How are data structures handled by NTFS and how does it recover from a crash?,Conceptual,Procedural,Factual,Factual,Factual,Factual
What are the benefits and losses of placing the functionality in a device controller rather than in placing it in the kernel?,Factual,Factual,Factual,Factual,Factual,Factual
What are merits and demerits of systems supporting multiple file structure and systems supporting a stream of bytes?,Conceptual,Factual,Factual,Factual,Factual,Factual
What do you understand by transaction atomicity?,Factual,Factual,Factual,Factual,Factual,Factual
