Section No.,Level,Section,Page No.
1,1,INTRODUCTION,32
1.1,2,WHAT IS AN OPERATING SYSTEM?,34
1.2,2,HISTORY OF OPERATING SYSTEMS,37
1.3,2,COMPUTER HARDWARE REVIEW,51
1.4,2,THE OPERATING SYSTEM ZOO,66
1.5,2,OPERATING SYSTEM CONCEPTS,69
1.6,2,SYSTEM CALLS,81
1.7,2,OPERATING SYSTEM STRUCTURE,93
1.8,2,THE WORLD ACCORDING TO C,104
1.9,2,RESEARCH ON OPERATING SYSTEMS,108
1.10,2,OUTLINE OF THE REST OF THIS BOOK,109
1.11,2,METRIC UNITS,110
1.12,2,SUMMARY,111
2,1,PROCESSES AND THREADS,116
2.1,2,PROCESSES,116
2.2,2,THREADS,128
2.3,2,INTERPROCESS COMMUNICATION,150
2.4,2,SCHEDULING,180
2.5,2,CLASSICAL IPC PROBLEMS,198
2.6,2,RESEARCH ON PROCESSES AND THREADS,203
2.7,2,SUMMARY,204
3,1,MEMORY MANAGEMENT,212
3.1,2,NO MEMORY ABSTRACTION,213
3.2,2,A MEMORY ABSTRACTION: ADDRESS SPACES,216
3.3,2,VIRTUAL MEMORY,225
3.4,2,PAGE REPLACEMENT ALGORITHMS,240
3.5,2,DESIGN ISSUES FOR PAGING SYSTEMS,253
3.6,2,IMPLEMENTATION ISSUES,264
3.7,2,SEGMENTATION,271
3.8,2,RESEARCH ON MEMORY MANAGEMENT,283
3.9,2,SUMMARY,284
4,1,FILE SYSTEMS,294
4.1,2,FILES,296
4.2,2,DIRECTORIES,307
4.3,2,FILE-SYSTEM IMPLEMENTATION,312
4.4,2,FILE-SYSTEM MANAGEMENT AND OPTIMIZATION,330
4.5,2,EXAMPLE FILE SYSTEMS,351
4.6,2,RESEARCH ON FILE SYSTEMS,362
4.7,2,SUMMARY,363
5,1,INPUT/OUTPUT,368
5.1,2,PRINCIPLES OF I/O HARDWARE,368
5.2,2,PRINCIPLES OF I/O SOFTWARE,382
5.3,2,I/O SOFTWARE LAYERS,387
5.4,2,DISKS,400
5.5,2,CLOCKS,419
5.6,2,"USER INTERFACES: KEYBOARD, MOUSE, MONITOR",425
5.7,2,THIN CLIENTS,447
5.8,2,POWER MANAGEMENT,448
5.9,2,RESEARCH ON INPUT/OUTPUT,457
5.10,2,SUMMARY,459
6,1,DEADLOCKS,466
6.1,2,RESOURCES,467
6.2,2,INTRODUCTION TO DEADLOCKS,470
6.3,2,THE OSTRICH ALGORITHM,474
6.4,2,DEADLOCK DETECTION AND RECOVERY,474
6.5,2,DEADLOCK AVOIDANCE,481
6.6,2,DEADLOCK PREVENTION,487
6.7,2,OTHER ISSUES,489
6.8,2,RESEARCH ON DEADLOCKS,495
6.9,2,SUMMARY,495
7,1,VIRTUALIZATION AND THE CLOUD,502
7.1,2,HISTORY,504
7.2,2,REQUIREMENTS FOR VIRTUALIZATION,505
7.3,2,TYPE 1 AND TYPE 2 HYPERVISORS,508
7.4,2,TECHNIQUES FOR EFFICIENT VIRTUALIZATION,509
7.5,2,ARE HYPERVISORS MICROKERNELS DONE RIGHT?,514
7.6,2,MEMORY VIRTUALIZATION,517
7.7,2,I/O VIRTUALIZATION,521
7.8,2,VIRTUAL APPLIANCES,524
7.9,2,VIRTUAL MACHINES ON MULTICORE CPUS,525
7.10,2,LICENSING ISSUES,525
7.11,2,CLOUDS,526
7.12,2,CASE STUDY: VMWARE,529
7.13,2,RESEARCH ON VIRTUALIZATION AND THE CLOUD,545
8,1,MULTIPLE PROCESSOR SYSTEMS,548
8.1,2,MULTIPROCESSORS,551
8.2,2,MULTICOMPUTERS,576
8.3,2,DISTRIBUTED SYSTEMS,597
8.4,2,RESEARCH ON MULTIPLE PROCESSOR SYSTEMS,618
8.5,2,SUMMARY,619
9,1,SECURITY,624
9.1,2,THE SECURITY ENVIRONMENT,626
9.2,2,OPERATING SYSTEMS SECURITY,630
9.3,2,CONTROLLING ACCESS TO RESOURCES,633
9.4,2,FORMAL MODELS OF SECURE SYSTEMS,642
9.5,2,BASICS OF CRYPTOGRAPHY,650
9.6,2,AUTHENTICATION,657
